,Regressor,MSE,R2,MAE,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,MLP,0.05665460510231263,-0.14151901060441574,0.18993754754935657,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 20, 23]","[19, 21]",['FW'],['FW'],1,42
0,MLP,0.06237675260152003,-0.13313848407889828,0.20084102370633047,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",['FW'],['FW'],1,42
0,MLP,0.06176035534994858,-0.09800555227458752,0.20288498340177957,"[2, 5, 7, 8, 9, 11, 14, 15, 19, 20, 21, 23]","[18, 13]",['FW'],['FW'],1,42
0,MLP,0.055897253167352674,-0.14718647593328305,0.1954996940810749,"[2, 5, 7, 8, 9, 11, 13, 15, 18, 19, 20, 21]","[14, 23]",['FW'],['FW'],1,42
0,MLP,0.06237675260152003,-0.13313848407889828,0.20084102370633047,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",['FW'],['FW'],1,42
0,MLP,0.09073995671836602,-0.176361929974173,0.2222910632626987,"[3, 5, 7, 8, 10, 12, 20, 23, 25]","[24, 6]",['LW'],['LW'],3,42
0,MLP,0.06559353862197548,-0.26170116166817925,0.1945662857697667,"[3, 5, 6, 7, 8, 10, 20, 23, 25]","[12, 24]",['LW'],['LW'],3,42
0,MLP,0.1167310180539859,-0.2863836869192513,0.21311888531536963,"[3, 5, 6, 7, 10, 20, 23, 24, 25]","[12, 8]",['LW'],['LW'],3,42
0,MLP,0.1164566981146846,-0.28303474494311653,0.24811870176134207,"[3, 6, 7, 8, 10, 20, 23, 24, 25]","[5, 12]",['LW'],['LW'],3,42
0,MLP,0.11012289525971646,-0.30759706264003994,0.23912785029079853,"[3, 5, 6, 8, 12, 20, 23, 24, 25]","[10, 7]",['LW'],['LW'],3,42
0,MLP,0.1167310180539859,-0.2863836869192513,0.21311888531536963,"[5, 6, 7, 10, 12, 20, 23, 24, 25]","[3, 8]",['LW'],['LW'],3,42
0,MLP,30.33745263787424,-0.6951685765813977,4.624599882882012,"[2, 5, 6, 9, 10, 11, 13, 15, 17, 18, 19, 24]","[16, 20]",['RW'],['RW'],5,42
0,MLP,40.98418253022672,-0.4030902501590976,5.641018970389051,"[2, 5, 6, 9, 10, 11, 16, 17, 18, 19, 20, 24]","[13, 15]",['RW'],['RW'],5,42
0,MLP,33.51800189100292,-0.21776416528707787,4.525227512693396,"[5, 6, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 9]",['RW'],['RW'],5,42
0,MLP,34.311822600944836,-0.029466032227743355,4.825201545250015,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 18, 19, 20]","[24, 17]",['RW'],['RW'],5,42
0,MLP,39.07943091037578,-0.11579891653474395,5.282083043973619,"[2, 5, 6, 9, 10, 11, 15, 16, 17, 19, 20, 24]","[18, 13]",['RW'],['RW'],5,42
0,MLP,0.011113216236404053,-0.0787824950641407,0.08555221454929515,"[3, 6, 9, 14, 16, 18, 19]",[24],['FP'],['FP'],2,42
0,MLP,0.014993243176996428,-0.21464783050304836,0.10103670066786943,"[3, 6, 9, 14, 18, 19, 24]",[16],['FP'],['FP'],2,42
0,MLP,0.010239677025006751,-0.21328918096084082,0.08318960737178854,"[3, 6, 9, 14, 16, 19, 24]",[18],['FP'],['FP'],2,42
0,MLP,0.011718392646551936,-0.08399657310621733,0.08995687259368475,"[3, 6, 9, 16, 18, 19, 24]",[14],['FP'],['FP'],2,42
0,MLP,0.011373762792697702,-0.15180952173604467,0.08927684313695121,"[3, 6, 9, 14, 16, 18, 24]",[19],['FP'],['FP'],2,42
0,MLP,0.0014722674610893895,-0.12120486286516585,0.025758365553163017,"[2, 3, 5, 10, 11, 13, 16, 17, 18, 23]","[21, 15]",['LP'],['LP'],4,42
0,MLP,0.0014722674610893895,-0.12120486286516585,0.025758365553163017,"[2, 3, 5, 10, 13, 16, 17, 18, 21, 23]","[11, 15]",['LP'],['LP'],4,42
0,MLP,0.0017710005116612477,-0.06285782065021173,0.02881996858699485,"[2, 3, 5, 10, 11, 13, 15, 16, 17, 21]","[18, 23]",['LP'],['LP'],4,42
0,MLP,0.0016370867749816915,-0.09547940051794401,0.029679290377455963,"[2, 5, 10, 11, 13, 15, 17, 18, 21, 23]","[16, 3]",['LP'],['LP'],4,42
0,MLP,0.0010469334789883957,-0.5987531962756869,0.026365424959748505,"[3, 5, 10, 13, 15, 16, 17, 18, 21, 23]","[2, 11]",['LP'],['LP'],4,42
