,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,MLP,0.432,0.5174029451137885,0.4347657762291908,0.38144472015439757,0.7804878048780488,0.09523809523809523,0.3855421686746988,0.6666666666666666,0.5161290322580645,0.16666666666666666,0.38144472015439757,0.4347657762291908,0.5174029451137885,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 20, 23]","[19, 21]",FW,FW,1,42
0,MLP,0.384,0.46074540927482105,0.38385598141695704,0.39090640357683926,0.36585365853658536,0.30952380952380953,0.26785714285714285,0.7222222222222222,0.3092783505154639,0.4333333333333334,0.39090640357683926,0.38385598141695704,0.46074540927482105,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",FW,FW,1,42
0,MLP,0.32857142857142857,0.22056384742951907,0.3330249768732655,0.1881201956673655,0.9565217391304348,0.0425531914893617,0.3283582089552239,0.3333333333333333,0.48888888888888893,0.07547169811320754,0.1881201956673655,0.3330249768732655,0.22056384742951907,"[2, 5, 7, 8, 9, 11, 14, 15, 19, 20, 21, 23]","[18, 13]",FW,FW,1,42
0,MLP,0.4482758620689655,0.4326176534374322,0.4448942869995502,0.38286790433601237,0.05263157894736842,0.717948717948718,0.4,0.4827586206896552,0.09302325581395349,0.577319587628866,0.38286790433601237,0.4448942869995502,0.4326176534374322,"[2, 5, 7, 8, 9, 11, 13, 15, 18, 19, 20, 21]","[14, 23]",FW,FW,1,42
0,MLP,0.384,0.46074540927482105,0.38385598141695704,0.39090640357683926,0.36585365853658536,0.30952380952380953,0.26785714285714285,0.7222222222222222,0.3092783505154639,0.4333333333333334,0.39090640357683926,0.38385598141695704,0.46074540927482105,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",FW,FW,1,42
0,MLP,0.5544871794871795,0.5258024691358024,0.5544871794871794,0.521911340375503,0.21153846153846154,0.6057692307692307,0.4074074074074074,0.5833333333333334,0.27848101265822783,0.5943396226415095,0.521911340375503,0.5544871794871794,0.5258024691358024,"[3, 5, 7, 8, 10, 12, 20, 23, 25]","[24, 6]",LW,LW,3,42
0,MLP,0.3746630727762803,0.38410306802052624,0.37444269603986363,0.37687969924812026,0.2926829268292683,0.4274193548387097,0.27906976744186046,0.3732394366197183,0.2857142857142857,0.39849624060150374,0.37687969924812026,0.37444269603986363,0.38410306802052624,"[3, 5, 6, 7, 8, 10, 20, 23, 25]","[12, 24]",LW,LW,3,42
0,MLP,0.5555555555555556,0.5247503997503997,0.5555555555555555,0.5274331062680577,0.2196969696969697,0.6363636363636364,0.3918918918918919,0.5454545454545454,0.2815533980582524,0.5874125874125874,0.5274331062680577,0.5555555555555555,0.5247503997503997,"[3, 5, 6, 7, 10, 20, 23, 24, 25]","[12, 8]",LW,LW,3,42
0,MLP,0.49038461538461536,0.38565833443882225,0.4892433878983769,0.40444914198856474,0.014492753623188406,0.7122302158273381,0.15384615384615385,0.48292682926829267,0.02649006622516556,0.5755813953488372,0.40444914198856474,0.4892433878983769,0.38565833443882225,"[3, 6, 7, 8, 10, 20, 23, 24, 25]","[5, 12]",LW,LW,3,42
0,MLP,0.4562334217506631,0.47645086742831105,0.45525925925925925,0.40090715073336214,0.088,0.5317460317460317,0.5238095238095238,0.4557823129251701,0.1506849315068493,0.4908424908424909,0.40090715073336214,0.45525925925925925,0.47645086742831105,"[3, 5, 6, 8, 12, 20, 23, 24, 25]","[10, 7]",LW,LW,3,42
