,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,MLP,0.6771488469601677,0.6849015317286652,0.6561844863731656,0.6702355460385439,0.6981132075471698,0.6561844863731656,0.670020120724346,0.6849015317286652,0.6837782340862423,0.6702355460385439,0.6770068900623931,0.6771488469601676,0.6774608262265056,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 20, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 20, 23]",FW,FW,1,42
0,MLP,0.6659685863874345,0.658,0.689727463312369,0.6734902763561925,0.6422594142259415,0.689727463312369,0.6747252747252748,0.658,0.6580921757770632,0.6734902763561925,0.6657912260666279,0.6659934387691553,0.6663626373626375,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]",FW,FW,1,42
0,MLP,0.6532091097308489,0.6396226415094339,0.7018633540372671,0.6692991115498519,0.6045548654244306,0.7018633540372671,0.6697247706422018,0.6396226415094339,0.6354733405875952,0.6692991115498519,0.6523862260687235,0.6532091097308488,0.6546737060758179,"[2, 5, 7, 8, 9, 11, 14, 15, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 14, 15, 19, 20, 21, 23]",FW,FW,1,42
0,MLP,0.6684266103484688,0.6612576064908722,0.6892177589852009,0.6749482401656315,0.6476793248945147,0.6892177589852009,0.6762114537444934,0.6612576064908722,0.6616379310344828,0.6749482401656315,0.6682930856000571,0.6684485419398578,0.6687345301176828,"[2, 5, 7, 8, 9, 11, 13, 15, 18, 19, 20, 21]","[2, 5, 7, 8, 9, 11, 13, 15, 18, 19, 20, 21]",FW,FW,1,42
0,MLP,0.6659685863874345,0.658,0.689727463312369,0.6734902763561925,0.6422594142259415,0.689727463312369,0.6747252747252748,0.658,0.6580921757770632,0.6734902763561925,0.6657912260666279,0.6659934387691553,0.6663626373626375,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]",FW,FW,1,42
0,MLP,0.6348547717842323,0.6141176470588235,0.7229916897506925,0.6641221374045801,0.5469613259668509,0.7229916897506925,0.6644295302013423,0.6141176470588235,0.6000000000000001,0.6641221374045801,0.6320610687022901,0.6349765078587717,0.6392735886300829,"[3, 5, 7, 8, 10, 12, 20, 23, 25]","[3, 5, 7, 8, 10, 12, 20, 23, 25]",LW,LW,3,42
0,MLP,0.6450304259634888,0.6226415094339622,0.7363083164300203,0.6747211895910781,0.5537525354969574,0.7363083164300203,0.6774193548387096,0.6226415094339622,0.6093749999999999,0.6747211895910781,0.6420480947955389,0.6450304259634888,0.6500304321363359,"[3, 5, 6, 7, 8, 10, 20, 23, 25]","[3, 5, 6, 7, 8, 10, 20, 23, 25]",LW,LW,3,42
0,MLP,0.6109481915933529,0.5969125214408233,0.6810176125244618,0.636197440585009,0.541015625,0.6810176125244618,0.6295454545454545,0.5969125214408233,0.5819327731092437,0.636197440585009,0.6090651068471264,0.6110166187622309,0.613228987993139,"[3, 5, 6, 7, 10, 20, 23, 24, 25]","[3, 5, 6, 7, 10, 20, 23, 24, 25]",LW,LW,3,42
0,MLP,0.583941605839416,0.5651465798045603,0.7244258872651357,0.6349496797804208,0.44375,0.7244258872651357,0.6173913043478261,0.5651465798045603,0.5163636363636364,0.6349496797804208,0.5756566580720286,0.5840879436325679,0.5912689420761932,"[3, 6, 7, 8, 10, 20, 23, 24, 25]","[3, 6, 7, 8, 10, 20, 23, 24, 25]",LW,LW,3,42
0,MLP,0.6172707889125799,0.5992779783393501,0.7078891257995735,0.6490713587487781,0.5266524520255863,0.7078891257995735,0.6432291666666666,0.5992779783393501,0.5791324736225087,0.6490713587487781,0.6141019161856434,0.6172707889125799,0.6212535725030084,"[3, 5, 6, 8, 12, 20, 23, 24, 25]","[3, 5, 6, 8, 12, 20, 23, 24, 25]",LW,LW,3,42
